text_a	label
There will be individually operated motors to drive side wheels in lieu of legs	3.0
simultaneously operated motors will open and close grippers, emulating grasping power of ant's mandibles	3.0
A third motor will lift and lower grippers, allowing Antie to raise and lower gripped items as ant would by raising and lowering its head	3.2
small sprayers will emit successful patroller and forager pheromones and cuticular hydrocarbons from appropriate sacs	3.0
Antie will not spray different pheromones depending on its task, on assumption that its time in sun will alter its hydrocarbons enough that its tasks will be recognizable to other ants	3.11
Other insects and creatures, including other species of ants, are present in desert, but red harvester ants seem to be relatively undisturbed by these animals Gordon,	3.0
Almost all motor output will be direct function of sensory input as indicated in following section	3.0
Antie will have hybrid software architecture: subsumption hierarchy will be responsible for switching between behaviors, but many subbehaviors will operate on schema basis	3.0
Pseudocode will approximate this architecture as closely as possible, and where appropriate, different subroutines running on schema basis will be marchked	3.1
Common Behaviors	3.0
A few subbehaviors will be necessary for more than behavior	3.0
The following global variables will be used throughout pseudocode, and are compiled here for ease of reference:	3.0
Background	3.0
Though fights sometimes do break out with other red harvester ants from different nests, intraspecies interactions tend not to be aggressive Gordon,	3.0
Because of this, I will ignore other ant species in design of Antie, and will not create fighting behavior	3.0
Common behaviors will include forward cruise and turning mechanism, procedures to determine orientation towards nest and distance from nest when outside, innest navigation, escape function for when objects are detected or bumped into, object identification and gripping, generic algorithm for pheromone plume and chemical trail following, and identification of other ants	3.0
Science fiction writers have been anticipating humanoid androids that could pass Turing Test for years	3.1
The Ant Robot	3.0
Ants of this species are of types: breeding ants queens and drones and sterile female workers	2.9
These behaviors will often be used in other subroutines running on schema basis, and when combined with forward cruise function, should cause robot to move at angle	3.0
In order to orient itself toward nest while navigating outside, Antie will need to determine which direction nest is in and rotate toward that heading, and also how far from nest it is at its current location	3.0
Antie will therefore have polarization function that will return compass direction toward which it should orient in order to return home to nest, and distance function that will return shortest direct distance	3.0
We may assume that this first function will return direction in degrees, positive or negative, and that second function will return distance in centimeters	3.1
Queens and drones will not be considered in this proposal, as their behaviors and design is much more specialized and would be applicable only during breeding season, which occurs but once per year	3.0
The first function might look something like this:	3.0
To exit, Antie will seek high temperature until photoreceptor reaches threshold of stimulation indicating sunlight, and to get deeper, Antie will seek lower temperature	3.0
The code may look something like this:	3.0
The behaviors of sterile workers may be divided into several subcategories: brood care, nest maintenance, patrolling and foraging	3.0
This void function will be called nestEnter , and will take in no inputs	3.0
To avoid bumping into things including other ants , Antie be provided with escape function	3.0
Each of Antie's bump sensors will cause robot to rotate different amount, and sonar will cause it to rotate degrees in opposite direction	3.0
Regardless, this will be very simple function	3.0
I will include example:	3.0
Little is known about brood care, as this occurs only in deepest regions of nest and observation would generally require destruction of nest	2.88
Because this function responds to sensors on Antie's around sides and only its sonar detectors will be able to detect objects in front of it, this escape function will not prevent Antie from being able to locate and pick up objects such as seeds	3.09
Before picking objects up, however, Antie will need to identify them	3.0
This object detection process will be activated when front bump sensor is stimulated or when both sonar detectors are stimulated	3.1
Chemical inputs will be checked to see what this object is most likely to be given its smell	3.0
The code may look something like this:	3.0
Nest maintenance and seed processing are likewise difficult to observe in deeper regions of nest, but sorting and deposition of waste dirt and nest garbage outside of nest midden work occurs close enough to surface to be observable	3.11
Once object has been identified, Antie may grip it and lift it	3.0
A simple void function grip taking in no inputs will tighten grippers until certain threshold of pressure is reached, at which grippers will be lifted for carrying	3.0
A void function release will perform this same action in reverse	3.0
Implementations of chemical gradient following robots using sensors on antennae stalks has been successful in with analog robots in past Webb, , regardless of potential problem of airflow causing disturbed gradient over evaporating pheromones	3.0
As partial control for problem of imprecise sensing, function will perform analysis of array information coming on from Antie's sensors on each stalk	3.0
The differences between these outputs is what is being compared everywhere there is leftIP or rightIP	3.0
Antie will use chemical gradient algorithm of Braitenberg's aggressive type vehicle described in his book Vehicles: Experiments in Synthetic Psychology, as this was found through series of experiments by Russell, et al to be very efficient when compared to several biomimetic models	3.0
Because same general algorithm will be followed for localization of all chemical traces, I will provide pseudocode for only generic subroutine	3.0
Patrolling and foraging, too, occur for most part outside of nest, and have therefore been studied extensively ex, Schafer, et al, ; Gordon, et al, ; Gordon, ; Gordon,	3.0
Proposal for Red Harvester Ant Robot: Colony Infiltration and Task Switching	3.0
For purposes of calls later in pseudocode, I will refer to these subroutines as trailFollow , findFood , and findMidden	2.9
All are void and take no inputs	2.7
The final common subroutine will be for identification of other ants	3.1
As harvester ants tend not to engage aggressively with nonnestmates, Antie will only identify other ants as ants if they belong to its nest	3.0
The code will be similar to object identification subroutine and may look something like this:	3.0
Using these basic common behaviors, more complex behaviors may be coded	3.0
Red harvester ants do not retain task throughout their lifespan, but instead change their behaviors as is appropriate for colony Gordon,	3.1
Research has shown that red harvester ants switch tasks partially as function of age ex, Ingram, et al, and partially as function of interactions with other workers ex, Schafer et al, ; Gordon, ; Greene Gordon,	3.1
Younger ants work more inside nest, and older ants work more outside nest	3.09
As result, I will model main behaviors in order that they are to be engaged in	3.3
Midden work, which consists of moving dirt between inside of nest and outside, will occur first; patrolling, which involves shorter overall amount of time spent outside, will occur second; and foraging will be final behavior	3.1
Finally, I will discuss main method encoding task switching between these behaviors	3.0
The midden work behavior will be Antie's default initial behavior	3.14
It will be initiated in morning by sunrise, and will continue until outside temperature reaches oC, at which all red harvester ants must return to nest	2.9
As previously stated, midden worker must identify midden, grasp it, and carry it to surface, depositing it halfway down mound before returning to collect more midden	2.9
A program encoding this behavior might look like this:	3.0
These behaviors each present different puzzles to ant and to modeler, though there is some overlap, particularly with navigational problems	2.88
Nest patrolling will involve leaving nest, roaming around on nest mound for few minutes, and reentering nest	3.14
This behavior will be implemented in parts, with taskswitching algorithm based on age	3.0
Research shows that ants do change their behaviors based partly on their perceived life expectancy Moron, et al, , and that taskswitching is partly genetically controlled by switch in gene expression as individual ages Ingram, et al,	2.88
Harvester ants display preference to wander in familiar territory, though foragers and patrollers do sometimes wander into other nests' territories Gordon,	3.0
In case of midden work, Antie must be able to identify garbage, grasp it, carry it out of nest, and deposit it about halfway down mound before returning to repeat process ad infinitum or until stimulated to switch behaviors	3.0
To control for this behavior, Antie's explore subroutine will display preference for exploration in places where there is low gradient of nestmate pheromones	3.1
This model is reasonable because patrollers and foragers change their explored territory from day to day, even though they do retain some more commonly chosen paths Gordon,	3.0
The code may look something like this:	3.0
Patrolling may be divided into distinct subbehaviors, nest patrolling and trail patrolling	3.0
Trail patrollers will go much further, until food sources are found, and will then orient towards nest and create trails for foragers to follow	3.0
An ant engaged in nest patrolling must exit nest at proper time in morning and wander about for bit on nest mound, presumably taking measurements of temperature and humidity in some way and making sure that it is safe for other ants to exit	3.0
A general site of food is all that patroller need find; foragers will dig through sand for food	3.1
Code for patrolling behavior might look like this note that part is on schema basis :	3.0
The integers nestpatrolage and trailpatrolage will represent ages at which it is appropriate to switch to these tasks	2.9
Perhaps level of degradation of nest patrollers' cuticular hydrocarbons after this short foray into sun and heat acts as indication of outside conditions to foragers, who may then, upon smelling returning patroller, be stimulated either to forage or to remain inactive inside nest	3.0
The final behavior, foraging, will involve extra subroutine that will employ algorithm designed by R	3.0
Andrew Russell to localize object through sand based on chemical plume	3.0
This will emulate digging that foragers must often do in order to locate seeds, and will enable Antie to accurately retrieve seeds for its host nest	3.0
This algorithm will keep track of last intensities of desired chemical input and compare them	3.0
The code for this, adapted from Russell's paper, might look like this:	3.0
Foragers will follow trails marchked by patrollers to their conclusion before collecting food to bring back to nest, even if more tantalizing food presents itself in their path Gordon,	3.0
To address this, strict subsumption hierarchy will make sure that foragers do not stop to collect food too soon	3.0
The code might look like this:	3.0
An ant engaged in trail patrolling must exit nest, wander around searching for food sources, identify food upon discovery and return to nest to show foragers where food is	3.12
Because midden work behavior is Antie's initial default behavior, I will not address task switching to midden work	2.9
Infiltrating insect societies, however, is much simpler	2.89
This is thought to be accomplished by deposition of chemical marchkers from gland on abdomen that patroller drags along ground on her return route to nest that foragers may then follow Gordon, ; Holldobler et al, , as cited in Webb,	3.0
Activated foragers form queue to exit nest and exit at steady rate	3.0
According to Schafer's, et al model of forager activation, every time successful forager returns and no foragers are currently in line to exit, fraction modeled at of inactive foragers joins queue	3.0
For purposes of modeling Antie, I will assume that switches between these behaviors are permanent, irreversible and partly function of age, with new foragers being activated by returning successful foragers	2.88
The code to model this taskswitching might look something like this:	3.11
Antie will be fully autonomous, situated and embodied agent, infiltrating red harvester ant colony and providing valuable information not only about hypothesized rules of these ants' behaviors and their taskswitching thresholds, but also about combination of complex behaviors into single autonomous system with ability to switch between behaviors as necessary	3.2
In addition to following these trails to food, foragers must also be able to identify food, grasp it and carry it back to nest	3.0
Biomimetic robots have long been rich source of information for both biologists and robotics engineers, and complex robots that can switch tasks as situation demands and communicate information about current tasks could be useful for further studies of complex robot behaviors as well as for obvious practical applications of robot swarms, such as on battlefield and standard building maintenance	3.0
REFERENCES	3.0
Ants engaged in all behaviors must be able to identify other nestmates and their current tasks as well as indicate to other ants their own nestmate status and current task , walk, navigate both within and outside of nest, and of course switch tasks at appropriate times	3.0
Extensive research has been done on interactions of social insects such as honeybees, ants and cockroaches, and in fact robots have passed undetected in cockroach society performing single simple behaviors already Halloy et al,	3.1
The Agent	2.9
Chassis	3.0
Antie will be implemented on tiny Road Warrior robotic system	3.2
Behaviors will be coded in Interactive C, for which some pseudocode is included	3.0
Sensors will include thermometer, photoreceptors, bump sensors, polarization compass, and series of chemical receptors	3.0
Antie be circular robot, no more than cm in diameter length of red harvester ant , with driving wheels and rear wheel for stabilization	3.1
A gripper will be located on front of robot consisting of elongated tongs	3.11
These sacs will be refilled at filling station each morning as Antie determines that they are getting depleted	3.11
Antie will likewise recharge at special station at night just inside nest entrance	3.14
For purposes of this proposal, I will assume that Antie has enough battery life to remain powered whole day	3.0
A rudimentary blueprint of Antie is attached	3.0
In attempt to mimic red harvester ant as closely as possible, these sensors include thermometer, photoreceptors, bump sensors and sonar, polarization compass, and series of chemical receptors on pair of stalks corresponding to antennae	3.09
On its front grippers, Antie will have tactile skin to sense pressure	3.0
The locations of rest of these sensors will depend on their function	3.0
The thermometer will be located on rear of robot to keep it out of way, and will detect and input to robot outside temperature in degrees Celsius	3.0
Harvester ants do not exit nest when outside temperature is above degrees Celsius Gordon, , and ability to use temperature gradient will enable innest navigation	3.0
Antie will also be equipped with photoreceptor located in middle of top of its chassis corresponding to ant's eyes	3.0
These will be useful for initiating patrolling behavior in morning and shutting off behaviors at night: patrollers first poke their heads out of nest shortly after sunrise and scuttle back in at night Gordon,	3.12
No robot has yet been constructed, however, that could pass undetected within colony of red harvester ants species Pogonomyrmex barbatus; nor has robot managed to pass undetected in society of insects while combining in its design several different behaviors and thresholds of stimulation required to switch between them	2.9
The bump sensors and sonar will form skirt around Antie to keep it from colliding with other objects	3.1
The sonar will correspond to ant's limited optical object detection ability, and bump sensors will allow robot to detect collisions	3.1
The polarization compass will consist of polarized light sensors placed at and degrees from center front of Antie, respectively, that will orient Antie towards desired polarization pattern	3.1
These sensors would correspond to cells in ants' eyes sensitive to polarized light, and research has shown that many insects, including ants, do navigate using path integration system synthesizing input from polarization compasses and from sort of odometer Labhart, et al,	2.9
This should be sufficient to return Antie to nest, given accuracy achieved by Lambrinos, et al and relatively short periods of time that harvester ants spend outside nest before returning	3.0
However, it reflects on greater level both desire of many Mayans to assimilate, as they still feel that is necessary for social mobility, and belief among general population that Mayans do not require septemberarate bill of rights as they are covered under general rights already in constitution Warren : ,	3.0
Illiteracy rates are in fact correlated with Mayan language itself: those who speak Spanish are more likely to be literate than those who speak Mayan alone England :	2.9
Nonetheless, in legislature passed law of national languages, which while reaffirming Spanish as official language, recognizes importance of indigenous languages as part of national identity and encourages their active promotion	3.0
Within panMayan movement, there remains desire to maintain linguistic diversity: some view reduction of their language to status of dialect devalues their unique identity and place in Mayan world; however, despite differences over standardization, panMayan movement itself is largely cohesive	3.0
An example is Tukanoans: while considered single ethnic group , they maintain distinct language groups and practice linguistic exogamy, in which members of language group must marchry into another Jackson :	3.2
Language further works to establish identity by encapsulating worldview marchkedly removed from that of dominant Western culture	3.1
Indigenous cosmology, or cosmovision , is difficult to translate into Romanticized languages; it maintains concept of culture, defined as form of behavior resulting from permanent harmonic relationship with Nature Gow and Rappaport : and view of history as cyclic that is often at odds with Western modes of thought	2.9
Conflict between cultures arise as cosmovision is rediscovered and developed, often by native shamans in tandem with indigenous leaders aided by outside researchers and nongovernmental organizations	3.0
The differences between Western and native perceptions then lead to conflict within revitalization movements themselves: question of embracing Western law and discourse is continually grappled with	2.9
Language plays complex and integral role in development and redefinition of identity, particularly when that identity has been oppressed and subsumed by dominant other for as long as that of indigenous peoples in Latin America has In particular I will examine divergent yet remarchkably parallel cases, that of Maya in Guatemala and Nasa and Guambiano peoples of Colombia	3.11
Customarchy law in Colombia contrasts with Western law as it maintains different perception of casual relationships: tying back to indigenous concept of harmony, crimes are viewed as imbalances in community's harmony and can often be traced back to those who did not perpetuate crime, but may have influenced accused to do so	2.7
When punishment often public and corporal in nature is carried out, group feels effects as whole	2.57
Shamans often sit with criminal as he fills his sentence, sharing in their ordeal	3.0
Rappaport Once punishments are completed, criminal is seen as rehabilitated, having fulfilled his duty to restore harmonic order, and is welcomed back into community Gow and Rappaport : , Rappaport :	3.0
Translation of law into native languages has proved to be difficult task, as Western ideas often have no parallel in indigenous cosmovision	2.9
The translation of Colombian constitution sparked development of neologisms, as goal of translators was not to provide direct translation of constitution, but to recapture its spirit in native, rather than Western discourse Gow and Rappaport :	3.2
This provides second interpretation of law distinct from that of Spanish Colombian culture, and in turn interpretation aligned with native ideology for cabildos to follow when governing Rappaport : ,	2.9
Translation fulfills another vital role, as it is employed in rediscovery of indigenous identity itself	3.25
Workshops and advocacy groups regularly work to translate native histories back into native forms of knowledge, distancing them from Western influences that have invaded over past centuries	2.88
The Guambiano history project charts native history as outward spiraling events which are both cyclic and parallel in nature; Mayan historians translate and document oral histories whose legacy is in danger of being forgotten Rappaport :	2.9
This attempt to regain identity via translation is indicative of intimate relationship between indigenous revitalization within modern context and native language use	2.9
Difficulties arise, however, as conflicts between traditional and modern and native languages and Spanish develop	2.8
Many native peoples in Colombia are monolingual Spanish speakers, raising question of practicality of indigenous language use	2.9
The authenticity of modern Nasa, who are often metropolitan Spanish speakers attempting to reconnect with their roots, is brought into question by traditional, who speak Nasa Yuwe and lead rural existence Rappaport	2.8
In Guatemala fact remains that Spanish is gateway to social mobility; years of conflict and refugee status have established desire to leave rural way of life for updated urban one, and those literate in Spanish have tools to do so	3.1
Illiteracy and poverty is associated with Maya; thus there is conflict between desire to recapture unique Mayan identity via language and need to improve living conditions, which most often occurs under Spanish influence	2.89
A further complication is necessity of establishing authentic Indianness , both in eyes of fellow indigenous peoples and outside Spanish culture	2.9
Politicians make of appearing in their native dress and speaking in their native language in assembly, even if they are more at home in business suit and speaking Spanish; indigenous identity has become calling card to extent that at times it appears to be caricature of itself	2.9
Efforts towards development, then, can not endanger traditional culture and values, for fear of losing cultural legitimacy Jackson :	3.0
There develops duality in native culture; for example, many Nasa children receive instruction in Nasa Yuwe yet converse in Spanish outside classroom	3.1
This intersection of language and indigenous identity poses challenges which have yet to be fully addressed	2.9
In Colombia, legal successes have often come about due to Colombian government's recognition of political viability of rhetoric of indigenous rights; by granting indigenous peoples judicial sovereignty they hope to win trust of people who view government as incapable of protecting them from ongoing civil strife, and by giving them blocks of land they hope that indigenous community will be able to keep out drug traffickers and guerrillas where government itself has not Jackson :	3.0
Regardless of ulterior motives behind their legal status, indigenous peoples in Colombia now possess rights to teach and govern in their own languages according to their own laws Jackson :	3.0
Conflicts arise due to internal differences and everpersist problem of defining indigenous identity and authenticity in pluralistic linguistic environment	2.8
Works Cited	2.9
The effects of Spanish colonialism are both farreaching and deeply embedded in both countries	2.86
of most prominent, lasting influences is that of land grant system Initially Spanish government attempted to instate encomienda system, in which conquistador maintained direct control over indigenous peoples and their land	2.9
This was in turn replaced by repartimento; natives were allowed to maintain control over their land and their laws but remained in every way inferior of Spanish, providing labor and taxes as demanded	2.9
The impoverished plight of native populations was first recognized by Marxist movements of early th century	3.29
Those were first to articulate necessity of affirming independent identity of indigenous populations; previously, both left and right maintained belief in indigenous assimilation into dominant Spanish culture	3.1
However, they also claimed that they were part of larger group, working class, whose poverty was direct result of American imperialism; therefore they should join these new popular leftist movements in order to reorganize society into workerfriendly Jackson :	3.11
In Colombia this resulted in civil war between Liberal and Communist parties and Conservative party	2.4
A truce established between Liberals and Conservatives failed to meet demands of Communists, who in turn sustained guerrilla attacks in response	2.4
This process leads to development of what can be broadly termed culture: group of people joined by characteristics, traits, and beliefs comes to view themselves as sharing distinct identity, discernible from that of those outside them, those who do not belong	3.09
This resulted in persecution against Mayans, who make up about of overall population In both counties, guerrillas were often associated with native peoples; in many cases there were coalitions, but in others guerrillas merely used remote, inaccessible villages as hideouts	2.6
In Guatemala over villages were destroyed, , Mayans were killed, and over more were displaced	2.2
The main guerrilla force was demilitarized in with establishment of peace accord Warren :	3.2
By s need to assert cause septemberarate from general left was seen, and indigenous rights movements formed Warren : , Jackson :	2.9
Central to these was question of indigenous identity:	3.0
PanMayanism in particular has sought to organize itself around Mayan language; despite local dialectical differences, it is seen as unifying force behind diverse Mayan people	3.1
Most still speak it in various forms, and efforts by Mayan linguists to standardize language are producing coherent, modern version of Maya England : ,	3.1
PanMayanism has succeeded in part due to its focus on issues of ethnicity; it largely avoids specifically political overtones, instead concentrating on development of reemerging Mayan culture England :	3.0
The popular left, however, continues to see rhetoric of ethnic rights as politically viable tool	2.62
The PanMayan movement thus benefits from lasting influence of popular left on Guatemalan governmental policies without risking drawing often negative attention of government England : , Warren :	2.9
Naturally this can be signaled by any number of things clothing, food, lifestyle choices	3.0
This results in part from ingrained influences of Spanish colonialism: Spanish continues to be associated with modernity and social mobility, whereas Maya is seen as backward and inferior	2.9
PanMayan leaders therefore seek to develop return to Maya as it was in its classical renaissance, language of power and prestige England :	3.0
By doing so they hope to inculcate among Mayan peoples renewed sense of pride which will in turn reverse dogma of Spanish superiority	3.0
Colombia, in contrast, has no unified panIndian sentiments; indigenous population is small fraction of overall population, fractured entity divided by region and language	3.0
Several competing and oftentimes conflicting indigenous rights advocacy groups have developed: ONIC poses itself as sole panIndian group, yet lacks legitimacy in eyes of many indigenous peoples Jackson : ,	3.0
The CRIC, which focuses on language development and renewal, is primarchily representative of Nasa peoples Jackson :	3.0
Whereas Mayanists benefit from single main identity, those of Colombia must operate under historical differences between various ethnic groups Jackson :	3.0
This reflects desire among peoples themselves to maintain distinct ethnic identities, both from Spanish Colombian population and each other	3.3
The command of language, while not affording guaranteed access to community which speaks it, is often key to gaining entry	3.12
A major success in Colombian saga is revamped constitution of , which includes section on indigenous rights, as Congress which drafted it included representatives from native groups Gow and Rappaport :	3.12
Central is return to old land grant system stemming from repartimentos of colonial era along with judicial sovereignty	2.9
They are ruled by cabildo, local governing boards formed of community leaders Gow and Rappaport :	3.0
The return to customarchy law reflects substantial shift in indigenous identity:	3.0
no longer ruled by Western laws and discourse, communities are forced to assess efficacy of their old judicial systems in light of modern era	3.1
In turn communal identity can be formed around language; it is used as focal around which group gathers	3.1
The oral nature of jurisprudence directly conflicts with desire of Colombian government to codify law, and questions of human rights violations are common as punishments are often corporal in nature Gow and Rappaport :	3.0
The Colombian constitution stands in stark contrast to failure of Guatemalan indigenous rights referendum of	2.6
True, USA has not suffered successful major attack since , but this does not mean that we are safer	2.6
The terrorists could strike any time they choose, through any of numerous loopholes so well reported in our media	2.8
This website and everything on it is in Public Domain, so you may use it freely, even without attribution	3.0
But they have chosen not to attack, perhaps because they are waiting to produce effect even greater than attacks, so they do not appear to be losing strength	2.6
What could be more spectacular than attacks?	2.8
Nuclear!	2.9
All of our frantic preparations may have had some effect in preventing smalltime casual attacks, but they can not stop serious planned attack, any more than mere door lock can stop serious robber who really wants to get into your house	2.5
But this claim is merely feelgood propaganda, intended to keep neocons in power	2.9
It can not withstand clearheaded scrutiny	2.7
The fact is, Bush policies have failed completely even to diminish terrorism, much less defeat it	2.0
By trying to stamp out terrorism by killing terrorists, Bush and Israel have made things infinitely worse for us: more dangerous, not safer	2.1
And proof that Bush has failed may come at any moment, explosively, with big successful attack here in USA	2.6
May God help us all	2.5
WHAT IS TERRORISM?	2.5
TERRORISM is systematic use of violence to create general climate of fear in population and thereby to bring about particular political objective	2.9
We believe that any terrorist act is crime against humanity and against will of God, because it deliberately intends to injure and kill innocent people	2.4
years have now gone by since September th attacks in , and terrorism is far greater threat to us now than it was then	2.5
Our purpose here is to NEUTRALIZE TERRORISM by removing motivation for it	3.1
Without motivation, terrorism will quickly die down, like plant without water	2.9
We completely reject idea that terrorism can be defeated by brute force, because brute force radicalizes moderates, and they then join terrorists	2.8
Brute force has failed in Palestine, and it is failing in Iraq	2.8
We try to be evenhanded in opposing all terrorism, although we recognize that greatest terrorist threat in world today comes from radical Muslims who falsely believe that Allah approves of their criminal behavior against Israel, The United States, Russia, India, Philippines, Australia, and others whom they falsely believe to be waging war against Allah	2.8
And secondgreatest terrorist threat comes from several countries, mainly Israel, who sometimes resort to terrorism themselves, claiming selfdefense, as they desperately try to prevent further attacks by radical Muslims	2.6
In all of these cases above, if radical Muslims would cease their attacks, all terrorism on both sides of every dispute would quickly end	2.7
The AntiTerrorist Undermining The Motivation For Terrorism	2.9
The number and severity of terrorist attacks worldwide has increased dramatically, as has number of active terrorists	2.3
The moral and religious theories which support terrorism are quite faulty and erroneous	2.7
They need to be identified and attacked	2.2
If terrorist loses faith in righteousness of his acts, he is less likely to perform them	2.9
EXAMPLE : Terrorists Offend Allah	2.6
EXAMPLE : Terrorist Murderers Insult Allah, Bring Shame To Islam	1.9
EXAMPLE LATEST AND BEST! Framed Below : Qur'an Forbids Terrorism	3.2
In every case of terrorism, we will find some kind of legitimate underlying grievance	2.9
If we eliminate legitimate grievances, we have eliminated much of motivation	3.1
Is this negotiating with terrorists or trying to appease terrorists, as some IsraeliNeoCons would try to say?	2.7
No	2.7
It is simply recognizing realities of human motivation, right or wrong	3.1
To deny reality, as IsraeliNeoCons do, is to invite disaster, as they have done	2.6
May God help us all	2.7
Blessings to you	3.73
Rev Bill McGinnis, Director LoveAllPeople org	3.1
By Rev Bill McGinnis, Director LoveAllPeople org	3.18
Now, many more moderate Muslims have become radicalized, worldwide, willing to kill innocent civilians in order to achieve their purposes	2.5
And serious targets have expanded to include civilians in Russia, India, Maylasia, Philippines, Spain, and elsewhere, as well as Israel and its sole supporter, United States	2.36
From beginners to experts, they are into hiking, camping, and backpacking crosscountry skiing and snowshoeing rock climbing and mountaineering canoeing, kayaking and bicycling nature photography and birdwatching and relaxing alongside nature	3.12
IT AUTHORIZES YOU TO START ENJOYING AMC'S OUTDOOR ACTIVITIES IMMEDIATELY!	3.57
Our mission is great	3.6
With our volunteers, we maintain , miles of trails	3.5
We provide overnight shelters including famous AMC Mountain Huts to more than , hikers annually	3.1
We built our first hut more than years ago in New Hampshire's northern Presidential Range, and we helped protect White Mountains so that they are still open to you now	3.3
Today our unique network of huts and lodges, each day's hike apart, stretches miles through White Mountain National Forest	3.33
And we offer same hospitality atop beautiful Mt Greylock in Berkshires	3.5
We're helping to develop	3.2
Northern Forest Canoe Trail, from Old Forge, New York, to Fort Kent, Maine	3.0
We're helping to protect Sterling Forest in New York	3.5
And we are working with National Park Service in upgrading trail system in Delaware Water Gap and Acadia National Park in Maine	3.0
Dear Outdoor Enthusiast:	3.1
Here in Northeast, we hold stewardship of precious portion of planet Earth	3.0
Contained within it are more than species of trees more than , species of plants and flowers!	3.37
Plus all birds and animals of forests and fish of our rivers and lakes	3.4
We're committed to preserving healthy environment that sustains us all	3.44
The Call of Wild	3.0
Despite centuries of neglect, wildlife still abounds in states where we are active	3.0
Should n't you?	2.7
Should n't you watch hawks and ravens soar below you at AMC's Lakes of Clouds mountain hut perched , ft high on Mt Washington's slope?	3.0
Build igloo?	2.8
Drive dogsled?	3.0
Climb frozen waterfall?	2.9
Should n't you learn ways to protect environment while you are enjoying it?	3.1
Would n't you like to?	3.0
You can	3.3
Why not come backpacking and overnight camping with AMC?	3.0
Why not come horseback riding with AMC in Catskills, exploring foothills and spending night at campsite?	3.0
Prowl for owls	2.9
Listen to loons	3.0
Bring binoculars for annual warbler migration	3.2
Join noctoberurnal owl prowl	3.0
Spend days camping, canoeing, and watching wildlife on Connecticut's Housatonic River	3.4
PLEASE ACCEPT THE ENCLOSED TEMPORARY MEMBERSHIP CARD	3.3
Take canoe trip to northern New Hampshire's only bald eagle nesting site in Lake Umbagog National Wildlife Refuge that we helped form	3.11
Explore evolution of Presidential Range, on geological trek	3.14
Join fellow AMC volunteers who protect and preserve our extensive northeastern trail network, including major sections of Appalachian Trail	3.1
Berths for AMC's volunteer projects go fast	3.0
Please use your Temporary Membership Card to Join Club	3.0
Last year more than , members contributed more than , hours to our challenging and rewarding pro bono activities, in cooperation with state and municipal agencies, and other nonprofit groups that share our goals	3.7
Indulge yourself	3.44
Pursue your special interests or prepare yourself for variety of recreational activities andor conservation projects by attending AMC Workshop:	3.44
And join fun while making real difference for environment!	3.87
There are daily activities and guided hikes for whole family	3.4
ISLEHOP Maine Coast	3.0
Camp out on isolated islands	3.1
Hike between our Greenleaf, Galehead, Zealand Falls, and Mizpah Spring Huts, and experience beauty of mountains and hospitality of huts	3.45
EXPLORE Northern Forest	3.25
Choose from number of hikes from easy walking to challenging	3.22
Breaking ice is easy	3.4
Regional chapters from Maine to Washington, D C, play key role in introducing you to activities and opportunities of AMC membership	3.2
You name it, we have got it!	3.83
AMC publications are maps for your enjoyment	3.7
Your taxdeductible Membership includes subscription to AMC Outdoors, magazine of Appalachian Mountain Club	3.4
Published times year, each issue is crammed with dates and detailed descriptions of AMC activities	3.1
Hundreds and hundreds of them every month, many at chapters near your home	2.9
And our roots go deep	3.0
In addition to Event Calendars of regularly scheduled workshops, clinics, day trips, overnight expeditions, and family programs, AMC Outdoors lists statebystate chapter activities, plus notices of everything from neighborhood walks to day rides, from weekend getaways to whalewatching excursions	3.12
We also publish wide range of books, maps, and trail guides	3.3
We have largest and broadest library of outdoor publications in Northeast of interest to you	3.3
And your membership entitles you to discounts on all of above	3.33
AMC is dedicated to protecting mountains, trails, and rivers throughout our region and near your home	3.3
Our mission is to protect environment through responsible citizen use and enjoyment of outdoors, that means your use, your enjoyment	3.67
May we look for enclosed AMO Membership Acceptance with your taxdeductible contribution by return mail?	3.11
Please join us in enjoying and protecting our special corner of planet Earth today	3.4
P S And please feel free to use your Temporary Membership Card while we are processing your application	3.2
I hope it is just push you need to get outdoors	3.27
P P S Check out our website at www outdoors org for uptodate information and hot tips on where to go, what to do, and what to take!	3.2
Because ASPCA and thousands of animals we help every year need all friends we can get!	3.2
As person who cares about animals, you are probably anxious to know what happened to Astro	2.75
A neighbor reported Astro's plight to ASPCA and our Humane Law Enforcement officers went to investigate	2.71
When our officers arrived, Astro was too weak to even stand up	2.63
The officers knelt down slowly, speaking gently to emaciated dog	2.67
Then they saw it	3.1
Astro was wagging his tail	3.78
He was barely moving	2.6
but yes poor, sick dog was saying	2.38
Welcome, friends!	3.8
The dog weighted only pounds less than half of what dog his size should weigh and he had several infections	2.11
But with firstrate medical attention and tender care from ASPCA staff, he slowly got well again	3.7
Stories like Astro's are all too common	3.0
Every day, ASPCA gets reports of animal cruelty, abuse, and neglect	2.11
Every day, our officers rescue animals like Sammy, monthold kitten who was deliberately thrown from highrise window by teenagers	2.6
In world where cruelty is common, animals like Sammy and Astro desperately need friends like you	2.7
That is why I have written to you to ask you to support ASPCA today	3.0
Our vital anticruelty efforts are just part of ASPCA mission We also find loving adoptive homes for rescued animals provide firstrate veterinary care through our Bergh Memorial Animal Hospital offer lowcost spay and neuter programs for cats and dogs reach out to children, teachers, and parents through our Education Programs	3.14
